,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10900,0,0,0,0,0,7,577,451,223,199,507,146,366,478,423,395,307,59,109,256,559,173,280,84,966,40,0,0,529,337,0,0,0
11000,0,0,0,0,0,17,587,461,233,209,517,156,376,488,433,405,317,69,119,266,569,183,290,94,976,50,0,0,539,347,0,0,0
11100,0,0,0,0,0,27,597,471,243,219,527,166,386,498,443,415,327,79,129,276,579,193,300,104,986,60,0,0,549,357,0,0,0
11200,0,0,0,0,0,37,607,481,253,229,537,176,396,508,453,425,337,89,139,286,589,203,310,114,8,70,0,0,559,367,0,0,0
11300,0,0,0,0,0,47,617,491,263,239,547,186,406,518,463,435,347,99,149,296,599,213,320,124,18,80,0,0,569,377,0,0,0
11400,0,0,0,0,0,57,627,501,273,249,557,196,416,5,473,445,357,109,159,306,609,223,330,134,28,90,0,0,579,387,0,0,0
11500,0,0,0,0,0,67,637,511,283,259,567,206,426,15,483,455,367,119,169,316,619,233,340,144,38,100,0,0,589,397,0,0,0
11600,0,0,0,0,0,77,647,521,293,269,577,216,436,25,493,465,377,129,179,326,629,243,350,154,48,110,0,0,599,407,0,0,0
11700,0,0,0,0,0,87,657,531,303,279,587,226,446,35,503,475,387,139,189,336,639,253,360,164,58,120,0,6,609,417,0,0,0
11800,0,0,0,0,0,97,667,541,313,289,597,236,456,45,513,485,397,149,199,346,649,263,370,174,68,130,0,16,619,427,0,0,0
11900,0,0,0,0,0,107,677,551,323,299,607,246,466,55,523,495,407,159,209,356,659,273,380,184,78,140,0,26,629,437,0,0,0
12000,0,0,0,0,0,117,687,4,333,309,617,256,476,65,533,505,417,169,219,366,669,283,390,194,88,150,0,36,639,447,0,0,0
12100,0,0,0,0,0,127,697,14,343,319,627,266,486,75,543,515,427,179,229,376,679,293,400,204,98,160,0,46,649,457,0,0,0
12200,0,0,0,0,0,137,707,24,353,329,637,276,496,85,553,525,437,189,239,386,689,303,410,214,108,170,0,56,659,467,0,0,0
12300,0,0,0,0,0,147,717,34,363,339,647,286,506,95,563,9,447,199,249,396,699,313,420,224,118,180,0,66,669,477,0,0,0
12400,0,0,0,0,0,157,727,44,373,349,657,296,516,105,573,19,457,209,259,406,709,323,430,234,128,190,0,76,679,487,0,0,0
12500,0,0,0,0,0,167,737,54,383,359,667,306,526,115,583,29,467,219,269,416,2,333,440,244,138,200,0,86,689,497,0,0,0
12600,0,0,0,0,0,177,747,64,393,369,677,316,536,125,593,39,477,229,279,426,12,343,450,254,148,210,0,96,699,507,0,0,0
12700,0,0,0,0,0,187,757,74,403,379,687,326,546,135,603,49,487,239,289,436,22,353,460,264,158,220,0,106,709,517,0,0,0
12800,0,0,0,0,0,197,767,84,413,389,697,336,556,145,6,59,497,249,299,446,32,363,470,274,168,230,0,116,719,527,0,0,0
12900,0,0,0,0,0,207,777,94,423,399,707,346,3,155,16,69,507,259,309,456,42,373,480,284,178,240,0,126,729,537,0,0,0
13000,0,0,0,0,0,217,787,104,433,409,717,356,13,165,26,79,517,269,319,466,52,383,490,294,188,250,0,136,739,547,0,0,0
13100,0,0,0,0,0,227,797,114,443,419,3,366,23,175,36,89,527,279,329,476,62,393,500,304,198,260,0,146,749,557,0,0,0
13200,0,0,0,0,0,237,807,124,453,429,13,376,33,185,46,99,537,289,339,486,72,403,510,314,208,270,0,156,759,567,0,0,0
13300,0,0,0,0,0,247,817,134,463,439,23,386,43,195,56,109,7,299,349,496,82,413,520,324,218,280,0,166,769,577,0,0,0
13400,0,0,0,0,0,257,827,144,473,449,33,396,53,205,66,119,17,309,359,506,92,423,530,334,228,290,0,176,779,587,0,0,0
13500,0,0,0,0,0,267,837,154,483,459,43,406,63,215,76,129,27,319,369,516,102,433,540,344,238,300,0,186,789,597,0,0,0
13600,0,0,0,0,0,277,847,164,493,469,53,416,73,225,86,139,37,329,379,8,112,443,550,354,248,310,0,196,799,607,0,0,0
13700,0,0,0,0,0,287,857,174,503,479,63,426,83,235,96,149,47,339,389,18,122,453,560,364,258,320,0,206,809,617,0,0,0
